Link,Preis,Beschreibung,Details,Adresse,Features,Vollständige_Adresse,Latitude,Longitude,created_date,closed_date,Preis_cleaned,Wohnfläche,Grundstücksfläche,Zimmer,Preis_pro_qm
https://www.immowelt.de/expose/518d3954-085e-41d0-9a9f-dca375f34079,269.000 € 3.057 €/m²,Wohnung zum Kauf,3 Zimmer·88 m²·2. Geschoss·frei ab sofort,"Altstadt 6, Trier (54290)",Frei ab sofort; Personenaufzug; Balkon; 2. Geschoss; Kelleranteil,Keine Adresse gefunden,,,2024-12-31,,269000.0,88.0,,3.0,3056.818181818182
https://www.immowelt.de/expose/f24fb877-b14d-4442-ad49-64710dc81456,389.000 € 3.670 €/m²,Wohnung zum Kauf,3 Zimmer·106 m²·2. Geschoss·frei ab sofort,"Bergstr.28, Gartenfeld 2, Trier (54295)","sofort; Außen-Stellplatz; Balkon; 2. Geschoss; Badezimmer: Bad mit Dusche, Bad mit Fenster; Gäste-WC; Kelleranteil; Haustiere erlaubt",Keine Adresse gefunden,,,2024-12-31,,389000.0,106.0,,3.0,3669.811320754717
https://www.immowelt.de/expose/f8c6cb80-42b8-4b0b-a2bb-ce930ce99687,4.995.000 € 5.369 €/m²,Mehrfamilienhaus zum Kauf,"930,4 m²","Barbara 4, Trier (54290)","2026; 17 Stellplätze: Garage, Außen-Stellplatz, Tiefgarage; Personenaufzug; Balkon; 4 Geschosse; DSL-Anschluss; Bad mit Dusche; Kelleranteil",Keine Adresse gefunden,,,2024-12-31,,4995000.0,930.4,,,5368.65864144454
https://www.immowelt.de/projekte/expose/k2wz432,385.400 € 5.183 €/m²,Wohnung zum Kauf,"3 Zimmer·74,4 m²","Alt-Kürenz 1, Trier (54295)",,Keine Adresse gefunden,,,2024-12-31,,385400.0,74.4,,3.0,5180.10752688172
https://www.immowelt.de/expose/4f9fe860-471e-4e45-bad1-dd125e2b31b7,585.000 € 3.398 €/m²,Mehrfamilienhaus zum Kauf,"9 Zimmer·172,1 m²·176 m² Grundstück","Maximin 4, Trier (54292)",Garten; vermietet; voll erschlossen,Keine Adresse gefunden,,,2024-12-31,,585000.0,172.1,176.0,9.0,3399.1865194654274
https://www.immowelt.de/expose/1ad62ff6-861e-4520-86a0-01e4e9e13d6c,479.000 € 4.519 €/m²,Wohnung zum Kauf,106 m²·EG·frei ab sofort,"Neu-Kürenz 1, Trier (54296)","Frei ab sofort; Tiefgarage; Personenaufzug; Balkon; Barrierefrei; Erdgeschoss; Badezimmer: Bad mit Dusche, Bad mit Fenster; Einbauküche",Keine Adresse gefunden,,,2024-12-31,,479000.0,106.0,,,4518.867924528302
https://www.immowelt.de/expose/47dc1557-da10-4947-9d34-835361870648,790.000 € 5.374 €/m²,Wohnung zum Kauf,3 Zimmer·147 m²·2. Geschoss,"Altstadt 6, Trier (54290)","ab sofort; Personenaufzug; Balkon; Rollstuhlgerecht; 2. Geschoss; Badezimmer: Badewanne, Bad mit Dusche, Bad mit Fenster; Gäste-WC; Einbauküche",Keine Adresse gefunden,,,2024-12-31,,790000.0,147.0,,3.0,5374.149659863946
https://www.immowelt.de/expose/8669fbc7-737f-4da8-b176-d247d5f75204,1.450.000 € 3.625 €/m²,Villa zum Kauf,400 m²·720 m² Grundstück·frei ab sofort,"Altstadt 1, Trier (54290)","ab sofort; 4 Stellplätze: Garage, Außen-Stellplatz; Balkon; 3 Geschosse; Gäste-WC; Garten; Kelleranteil; ausbaufähiges Dach",Keine Adresse gefunden,,,2024-12-31,,1450000.0,400.0,720.0,,3625.0
https://www.immowelt.de/expose/5b2802a4-1e07-4828-9495-07b6da26a492,790.000 € 3.160 €/m²,Einfamilienhaus zum Kauf,10 Zimmer·250 m²·1.000 m² Grundstück,"Neu-Heiligkreuz 4, Trier (54295)","nach Vereinbarung; 4 Stellplätze: Garage, Außen-Stellplatz; Balkon; 2 Geschosse; Bad mit Fenster; Gäste-WC; Einbauküche; Garten",Keine Adresse gefunden,,,2024-12-31,,790000.0,250.0,1000.0,10.0,3160.0
https://www.immowelt.de/expose/671e30de-95bd-4fb2-b282-6e636cad5f7c,Preis auf Anfrage,Wohnung zum Kauf,"2 Zimmer·85,3 m²·1. Geschoss","Maximin 5, Trier (54290)",nach Vereinbarung; Außen-Stellplatz; Personenaufzug; Balkon; 1. Geschoss,Keine Adresse gefunden,,,2024-12-31,,,85.3,,2.0,
https://www.immowelt.de/expose/ec63d378-9d6e-48e5-88a1-da46e24bbafd,200.000 € 4.000 €/m²,Studio zum Kauf,"1 Zimmer·50,4 m²·1. Geschoss·frei ab sofort","Robert-Schumann-Allee 18, Neu-Kürenz 2, Trier (54296)",2014; Stellplatz; Personenaufzug; Balkon; möbliert; Rollstuhlgerecht; 1. Geschoss; Bad mit Dusche,Keine Adresse gefunden,,,2024-12-31,,200000.0,50.4,,1.0,3968.253968253968
https://www.immowelt.de/expose/2e9d1bb2-2147-4453-b4d0-9832d5d5a3eb,229.800 € 3.648 €/m²,Wohnung zum Kauf,3 Zimmer·63 m²·2. Geschoss,"Altstadt 5, Trier (54295)","nach Vereinbarung; 2. Geschoss; Badezimmer: Badewanne, Bad mit Dusche, Bad mit Fenster; Einbauküche; Kelleranteil; Kabelanschluss; vermietet",Keine Adresse gefunden,,,2024-12-31,,229800.0,63.0,,3.0,3647.6190476190477
https://www.immowelt.de/expose/52d10bed-c566-4e5a-93be-ba5cb442b7c7,329.000 € 3.075 €/m²,Wohnung zum Kauf,3 Zimmer·107 m²·1. Geschoss,"Altstadt 6, Trier (54290)","sofort; 1. Geschoss; Bad mit Dusche; Einbauküche; Bodenbelag: Fliesen, Laminat",Keine Adresse gefunden,,,2024-12-31,,329000.0,107.0,,3.0,3074.766355140187
https://www.immowelt.de/expose/3ad6d174-0b65-44eb-afad-bd10d391b5c2,Preis auf Anfrage,Wohnung zum Kauf,"2 Zimmer·49,9 m²·1. Geschoss","Maximin 5, Trier (54290)",nach Vereinbarung; Außen-Stellplatz; Personenaufzug; 1. Geschoss,Keine Adresse gefunden,,,2024-12-31,,,49.9,,2.0,
https://www.immowelt.de/expose/8a8ce174-f9a6-4a77-a586-a9e1148e3de0,Preis auf Anfrage,Wohnung zum Kauf,2 Zimmer·50 m²·2. Geschoss,"Maximin 5, Trier (54290)",nach Vereinbarung; Außen-Stellplatz; Personenaufzug; 2. Geschoss,Keine Adresse gefunden,,,2024-12-31,,,50.0,,2.0,
https://www.immowelt.de/expose/d8b42016-32a4-4634-a9ba-7bf0f7d2d45a,Preis auf Anfrage,Wohnung zum Kauf,"2 Zimmer·71,6 m²·2. Geschoss","Maximin 5, Trier (54292)",nach Vereinbarung; Außen-Stellplatz; Personenaufzug; Balkon; 2. Geschoss,Keine Adresse gefunden,,,2024-12-31,,,71.6,,2.0,
https://www.immowelt.de/expose/15ae023b-bef7-4d7d-9bae-ce5daa512dea,Preis auf Anfrage,Wohnung zum Kauf,"3 Zimmer·110,9 m²·3. Geschoss","Maximin 5, Trier (54290)",nach Vereinbarung; 2 Stellplätze: 2 Außen-Stellplätze; Personenaufzug; Balkon; 3. Geschoss,Keine Adresse gefunden,,,2024-12-31,,,110.9,,3.0,
